userID,Label,Value
101,zoom,"<a href=""https://acme.zoom.us/j/4088765309"">acme.zoom.us/j/4088765309</a>"
101,linkedIn,"<a href=""https://www.linkedin.com/in/mjane/"">linkedin.com/in/mjane</a>"
103,zoom,"<a href=""https://acme.zoom.us/j/3328761212"">acme.zoom.us/j/3328761212</a>"
103,linkedIn,"<a href=""https://www.linkedin.com/in/sgant/"">linkedin.com/in/sgant</a>"
104,zoom,"<a href=""https://acme.zoom.us/j/4088762424"">acme.zoom.us/j/4088762424</a>"
104,linkedIn,"<a href=""https://www.linkedin.com/in/dsummers/"">linkedin.com/in/dsummers</a>"
105,zoom,"<a href=""https://acme.zoom.us/j/3328765555"">acme.zoom.us/j/3328765555</a>"
105,linkedIn,"<a href=""https://www.linkedin.com/in/bspears/"">linkedin.com/in/bspears</a>"
106,zoom,"<a href=""https://acme.zoom.us/j/4088767777"">acme.zoom.us/j/4088767777</a>"
106,linkedIn,"<a href=""https://www.linkedin.com/in/tpeters/"">linkedin.com/in/tpeters</a>"
107,zoom,"<a href=""https://acme.zoom.us/j/3328768888"">acme.zoom.us/j/3328768888</a>"
107,linkedIn,"<a href=""https://www.linkedin.com/in/kgill/"">linkedin.com/in/kgill</a>"
108,zoom,"<a href=""https://acme.zoom.us/j/4088761313"">acme.zoom.us/j/4088761313</a>"
108,linkedIn,"<a href=""https://www.linkedin.com/in/kobrien/"">linkedin.com/in/kobrien</a>"
109,linkedIn,"<a href=""https://www.linkedin.com/in/sconnery/"">linkedin.com/in/sconnery</a>"
109,zoom,"<a href=""https://acme.zoom.us/j/3328762424"">acme.zoom.us/j/3328762424</a>"
111,linkedIn,"<a href=""https://www.linkedin.com/in/tbrady/"">linkedin.com/in/tbrady</a>"
111,zoom,"<a href=""https://acme.zoom.us/j/4088764545"">acme.zoom.us/j/4088764545</a>"
112,linkedIn,"<a href=""https://www.linkedin.com/in/nstapelton/"">linkedin.com/in/nstapelton</a>"
112,zoom,"<a href=""https://acme.zoom.us/j/4088765656"">acme.zoom.us/j/4088765656</a>"
113,linkedIn,"<a href=""https://www.linkedin.com/in/mharding/"">linkedin.com/in/mharding</a>"
113,zoom,"<a href=""https://acme.zoom.us/j/3328766767"">acme.zoom.us/j/3328766767</a>"
114,linkedIn,"<a href=""https://www.linkedin.com/in/rgronk/"">linkedin.com/in/rgronk</a>"
114,zoom,"<a href=""https://acme.zoom.us/j/3328767878"">acme.zoom.us/j/3328767878</a>"
116243582515871714244,github,"<a href=""https://github.com/rmahal"">github.com/rmahal</a>"
116243582515871714244,slack,"<a href=""slack://user?team=ga-students.slack.com&id=rmahal25@gmail.com"">rmahal25@gmail.com</a>"
116243582515871714244,website,"<a href=""https://rmahal.com"">rmahal.com</a>"
116243582515871714244,linkedIn,"<a href=""https://www.linkedin.com/in/rajmahal/"">linkedin.com/in/rajmahal</a>"
115,linkedin,"<a href=""https://www.linkedin.com/in/jbridges/"">linkedin.com/in/jbridges</a>"
115,zoom,"<a href=""https://acme.zoom.us/j/4088769090"">acme.zoom.us/j/4088769090</a>"
