_id,FirstName,LastName,Email,Phone,Address,CountryCode,JobTitle,Org,manager,HRrep
101,Mary,Jane,mary.jane@acme.com,408-876-5309,"111 Main Street, San Jose, CA 95029",US,CEO,World Wide,null,null
103,Serena,Gant,serena.gant@acme.com,408-876-1212,"113 Main Street, San Jose, CA 95029",US,Vice Presdient,Human Resources,101,101
115,Jeff,Bridges,jeff.bridges@acme.com,408-876-9090,"125 Main Street, San Jose, CA 95029",US,Salesperson,HR Representative,103,103
102,Lil,Harrison,lil.harrison@acme.com,408-876-1234,"112 Main Street, San Jose, CA 95029",US,Vice Presdient,Operations,101,115
104,Dan,Summers,dan.summers@acme.com,408-876-2424,"114 Main Street, San Jose, CA 95029",US,Vice Presdient,Finance,101,115
105,Bill,Spears,bill.spears@acme.com,408-876-5555,"115 Main Street, San Jose, CA 95029",US,Vice Presdient,Engineering,101,115
106,Tom,Peters,tom.peters@acme.com,408-876-7777,"116 Main Street, San Jose, CA 95029",US,Vice Presdient,Sales,101,115
107,Karen,Gill,karen.gill@acme.com,408-876-8888,"117 Main Street, San Jose, CA 95029",US,Director,Sales - APAC,106,115
108,Kevin,O'Brien,kevin.obrien@acme.com,408-876-1313,"118 Main Street, San Jose, CA 95029",US,Director,Sales - LAD,106,115
109,Sean,Connery,sean.connery@acme.com,408-876-2424,"119 Main Street, San Jose, CA 95029",US,Director,Sales - EMEA,106,115
110,Raj,Mahal,raj.mahal@acme.com,408-876-3838,"120 Main Street, San Jose, CA 95029",US,Director,Sales - NA,106,115
111,Tom,Brady,tom.brady@acme.com,408-876-4545,"121 Main Street, San Jose, CA 95029",US,Salesperson,Sales - NA - Western Region,110,115
112,Noah,Stapelton,noah.stapelton@acme.com,408-876-5656,"122 Main Street, San Jose, CA 95029",US,Salesperson,Sales - NA - Eastern Region,110,115
113,Molly,Harding,molly.harding@acme.com,408-876-6767,"123 Main Street, San Jose, CA 95029",US,Salesperson,Sales - NA - Mountain Region,110,115
114,Rob,Gronk,rob.gronk@acme.com,408-876-7878,"124 Main Street, San Jose, CA 95029",US,Salesperson,Sales - NA - Central Region,110,115
